iter	RMSE
0	75.69425158
1	73.05071009
2	70.69932763
3	67.81297649
4	65.65648794
5	62.98034161
6	61.04466649
7	59.45132847
8	57.82611205
9	56.42795307
10	55.03977609
11	53.95054656
12	53.05262219
13	51.93346915
14	50.84562431
15	50.03093486
16	48.95406027
17	48.16315208
18	47.30098051
19	46.27360366
20	45.35355964
21	44.75884006
22	44.10419156
23	43.51497976
24	43.00467356
25	42.22613156
26	41.53847689
27	41.12139698
28	40.59249756
29	40.0974904
30	39.48821078
31	38.9087762
32	38.17073803
33	37.61930021
34	36.92618514
35	36.59314446
36	35.92610331
37	35.65620284
38	34.8920881
39	34.41342065
40	33.79278198
41	33.51201187
42	33.11801368
43	32.9583458
44	32.64321003
45	32.51001305
46	32.14166118
47	31.80341673
48	31.45036348
49	30.8370239
50	30.3899704
51	29.96581504
52	29.84852869
53	29.50253841
54	29.26095289
55	28.96326417
56	28.81678556
57	28.65100669
58	28.32530095
59	28.07145891
60	27.78667884
61	27.71063087
62	27.40103609
63	27.06515
64	26.61385551
65	26.29192688
66	25.84570195
67	25.51352491
68	25.29695033
69	25.03534898
70	24.74171637
71	24.48669646
72	24.17566801
73	23.96049454
74	23.74167266
75	23.4776103
76	23.15595346
77	22.87690105
78	22.79658988
79	22.60455168
80	22.22964518
81	22.00475765
82	21.80180412
83	21.47922512
84	21.31970403
85	21.07616343
86	21.01195379
87	20.89226001
88	20.80161381
89	20.57999477
90	20.54731781
91	20.27691547
92	20.00412631
93	19.77132499
94	19.61762916
95	19.35575855
96	19.05868461
97	19.01930428
98	18.8851689
99	18.65379477
