iter	Passed	Remaining
0	149	14800
1	150	7370
2	151	4889
3	151	3647
4	152	2901
5	153	2403
6	154	2047
7	154	1780
8	155	1573
9	156	1407
10	157	1271
11	157	1158
12	158	1062
13	159	979
14	160	908
15	161	846
16	162	791
17	162	741
18	163	696
19	164	656
20	164	620
21	165	587
22	166	557
23	167	530
24	168	504
25	168	480
26	169	458
27	170	438
28	171	418
29	171	400
30	172	384
31	173	368
32	174	353
33	174	339
34	175	326
35	176	313
36	177	301
37	178	290
38	178	279
39	179	269
40	180	259
41	180	249
42	181	241
43	182	232
44	183	223
45	183	215
46	184	208
47	184	200
48	185	193
49	186	186
50	187	179
51	187	173
52	188	167
53	189	161
54	190	155
55	191	150
56	191	144
57	192	139
58	193	134
59	194	129
60	195	124
61	196	120
62	196	115
63	197	111
64	198	106
65	199	102
66	199	98
67	200	94
68	201	90
69	201	86
70	202	82
71	203	79
72	204	75
73	204	72
74	205	68
75	206	65
76	207	61
77	208	58
78	208	55
79	209	52
80	210	49
81	210	46
82	211	43
83	212	40
84	213	37
85	213	34
86	214	32
87	215	29
88	216	26
89	216	24
90	217	21
91	218	18
92	219	16
93	219	14
94	220	11
95	221	9
96	221	6
97	222	4
98	223	2
99	224	0
