step,loss,val_loss,mae,val_mae,mse,val_mse,train_mse,test_mse
1,19746.41796875,19225.501953125,129.2040252685547,127.38610076904297,19746.111328125,19225.19921875,19746.41796875,19225.501953125
2,18977.90234375,17964.90234375,126.83213806152344,123.25613403320312,18977.58984375,17964.59375,18977.90234375,17964.90234375
3,18060.95703125,16969.4375,123.75800323486328,119.75782012939453,18060.642578125,16969.125,18060.95703125,16969.4375
4,16962.1171875,15957.5986328125,119.89752197265625,116.03711700439453,16961.802734375,15957.27734375,16962.1171875,15957.5986328125
5,15681.4580078125,14837.71875,115.2120132446289,111.69381713867188,15681.1328125,14837.3916015625,15681.4580078125,14837.71875
6,14252.0029296875,13492.8544921875,109.71233367919922,106.18834686279297,14251.673828125,13492.513671875,14252.0029296875,13492.8544921875
7,12634.9833984375,11974.2724609375,102.89505767822266,99.40792846679688,12634.63671875,11973.9248046875,12634.9833984375,11974.2724609375
8,10972.1328125,10638.48046875,95.30035400390625,93.09073638916016,10971.77734375,10638.119140625,10972.1328125,10638.48046875
9,9315.1884765625,8962.9677734375,87.02347564697266,84.57767486572266,9314.8232421875,8962.595703125,9315.1884765625,8962.9677734375
10,7682.1533203125,7769.26904296875,78.09054565429688,77.50418090820312,7681.775390625,7768.8837890625,7682.1533203125,7769.26904296875
11,6239.04736328125,6448.7705078125,69.116455078125,69.16442108154297,6238.65771484375,6448.37255859375,6239.04736328125,6448.7705078125
12,4974.12109375,5308.39208984375,60.56650161743164,61.7509880065918,4973.71826171875,5307.98193359375,4974.12109375,5308.39208984375
13,3929.5654296875,4438.4912109375,52.57979965209961,55.58180236816406,3929.14990234375,4438.06884765625,3929.5654296875,4438.4912109375
14,3097.05126953125,3606.735595703125,45.89192199707031,48.740753173828125,3096.621826171875,3606.299560546875,3097.05126953125,3606.735595703125
15,2429.3515625,2923.22802734375,39.70225143432617,42.30793380737305,2428.910888671875,2922.78076171875,2429.3515625,2923.22802734375
16,2121.005859375,2687.103271484375,36.075950622558594,39.82621765136719,2120.553466796875,2686.64453125,2121.005859375,2687.103271484375
17,1854.12744140625,2357.614013671875,33.39601516723633,36.571468353271484,1853.663818359375,2357.14599609375,1854.12744140625,2357.614013671875
18,1618.953369140625,2237.552978515625,31.090044021606445,35.41973876953125,1618.480224609375,2237.07470703125,1618.953369140625,2237.552978515625
19,1464.504638671875,2172.22998046875,29.168277740478516,34.59616470336914,1464.0218505859375,2171.742431640625,1464.504638671875,2172.22998046875
20,1448.775634765625,2131.818359375,29.11382484436035,33.59869384765625,1448.283447265625,2131.32080078125,1448.775634765625,2131.818359375
21,1366.5025634765625,2049.476806640625,28.255271911621094,32.7608757019043,1366.0010986328125,2048.969970703125,1366.5025634765625,2049.476806640625
22,1342.7509765625,2006.36669921875,28.023365020751953,32.54066848754883,1342.2392578125,2005.85107421875,1342.7509765625,2006.36669921875
23,1300.243408203125,1974.3668212890625,27.721147537231445,32.39527893066406,1299.7239990234375,1973.8424072265625,1300.243408203125,1974.3668212890625
