step,train_mse,test_mse
1,18251.845768438507,15166.523966825182
2,16307.543012082999,13676.466394927536
3,14772.661086967444,12296.38989187047
4,13293.022202195538,10936.076236979166
5,11837.991396201769,9620.000213711504
6,10419.333893940917,8362.351626188858
7,9060.129623442524,7187.582247792119
8,7778.408267182476,6124.669416610054
9,6634.88695833752,5202.504816293025
10,5613.292095181873,4449.542191745924
11,4775.788635136154,3891.8501747905343
12,4144.109818221212,3556.905889804121
13,3707.540214592544,3466.9914855072466
14,3544.6087001984524,3558.5211135643117
15,3536.952068522659,3516.379519078351
16,3503.013771572297,3517.3360514322917
17,3489.2569243305365,3506.851717476223
18,3499.165203916298,3554.5638480808425
19,3508.032633201869,3463.4585109544837
20,3484.4689616408764,3528.455702983469
21,3483.4611335975183,3460.0685837013134
22,3502.36775129999,3519.609087692482
23,3466.352958890173,3475.6384022588313
24,3478.3994778059687,3480.051872452446
25,3455.6423646000803,3500.6085215692933
26,3483.656031764972,3458.4748492697013
27,3458.6789351386656,3471.9592469146287
28,3453.2104440376306,3519.580265653306
29,3475.206447196543,3492.059128736413
30,3467.752164451869,3487.783350317029
31,3446.648161409139,3435.5710371376813
32,3454.0031942385954,3470.4522736922554
33,3446.44567926045,3444.158361639493
34,3451.192588487239,3501.3651154891304
35,3448.381727762008,3395.8368758491847
36,3428.6308295443127,3461.1188250113223
37,3443.1832813128012,3487.870849609375
38,3440.6008548061945,3437.128961447011
39,3433.108913880376,3478.784860450634
40,3442.0617722882334,3471.545652881567
41,3443.2741068064206,3444.465576171875
42,3431.656804850784,3465.7001790364584
43,3438.36749522709,3430.526613451087
44,3436.858861755175,3456.629454681839
45,3430.7957450449658,3424.7113903985505
46,3425.7310548445034,3447.867146456069
47,3433.0256532920516,3462.1136520606883
48,3440.6883324331793,3462.4182666723277
49,3429.6382134244373,3458.71758520154
50,3422.636805730004,3435.871027230525
51,3428.93155600005,3431.163765285326
52,3427.741928130024,3445.091311424366
53,3427.424477962972,3436.670666326993
54,3425.654144581491,3435.5213470901267
55,3406.1480236384646,3417.3741847826086
56,3412.1187895649114,3434.7787993942484
57,3420.524343881883,3426.3829879981886
58,3424.5018268940917,3432.196916751585
59,3432.339949570438,3478.705506963315
60,3441.7462629998995,3455.7186657891757
